adresse,num,proprio[global],collectif,sexe,statut_femme,proprio_titre*,proprio_particule*,proprio_name*,proprio_ad,proprio_numAd,commune_propio,proprio_region*,Pays,same_place*,commentaire,x_dom,y_dom,postcode_en2020_dom,source_dom,url_dom,score_dom
rue de l’Abbé Groult,11,Pierron (Vve),,F,Veuve,-0,-0,Pierron,rue Théâtre,72,Paris,Paris,France,non,,2.291143,48.847657,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=72+rue+Théâtre&lat=48.8566&lon=2.3522&limit=100,0.7418281541552124
rue de l’Abbé Groult,13,Brémont,,,,-0,-0,Brémont,rue Enghien,28,Paris,Paris,France,non,,2.350672,48.872087,75010,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=28+rue+Enghien&lat=48.8566&lon=2.3522&limit=100,0.7791649655309175
rue de l’Abbé Groult,15,Rondel,,,,-0,-0,Rondel,rue Abbé Groult,15,Paris,Paris,France,oui,,2.293995,48.84266,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=15+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120119886753531
rue de l’Abbé Groult,17,Rondel,,,,-0,-0,Rondel,rue Abbé Groult,15,Paris,Paris,France,non,,2.293995,48.84266,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=15+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120119886753531
rue de l’Abbé Groult,21,Lozouet,,,,-0,-0,Lozouet,rue Violet,24,Paris,Paris,France,non,,2.293635,48.8484,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=24+rue+Violet&lat=48.8566&lon=2.3522&limit=100,0.8825110676116471
rue de l’Abbé Groult,23,Sévin (Mme),,F,Mme,-0,-0,Sévin,rue Rouget del’Isle,8,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=8+rue+Rouget+del’Isle&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Groult,25,Lebègue,,,,-0,-0,Lebègue,rue Abbé Groult,25,Paris,Paris,France,oui,,2.294566,48.841979,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=25+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.712015733203409
rue de l’Abbé Groult,27,Baudry,,,,-0,-0,Baudry,rue Duvivier,26,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=26+rue+Duvivier&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Groult,29,Butet (Vve),,F,Veuve,-0,-0,Butet,rue Lilas,7,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=7+rue+Lilas&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Groult,31,Lancome,,,,-0,-0,Lancome,rue Abbé Groult,31,Paris,Paris,France,oui,,2.294934,48.841542,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=31+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120179082752812
rue de l’Abbé Groult,33,Lancome,,,,-0,-0,Lancome,rue Abbé Groult,31,Paris,Paris,France,non,,2.294934,48.841542,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=31+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120179082752812
rue de l’Abbé Groult,35,Plard (Mme),,F,Mme,-0,-0,Plard,rue Abbé Groult,35,Paris,Paris,France,oui,,2.295135,48.841304,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=35+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120190188945473
rue de l’Abbé Groult,37,Delorieux (Mme),,F,Mme,-0,-0,Delorieux,rue Abbé Groult,44,Paris,Paris,France,non,,2.295338,48.840839,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=44+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120172061334785
rue de l’Abbé Groult,39,Sustrac,,,,-0,-0,Sustrac,Houilles,villa Jolly,,Seine-et-Oise,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=villa+Jolly+Houilles&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Groult,41,André,,,,-0,-0,André,rue Casimir Delavigne,6,Paris,Paris,France,non,,2.339241,48.850579,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=6+rue+Casimir+Delavigne&lat=48.8566&lon=2.3522&limit=100,0.8758463476775619
rue de l’Abbé Groult,43,Rouillard (Mme),,F,Mme,-0,-0,Rouillard,rue Bonaparte,59,Paris,Paris,France,non,,2.333099,48.851953,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=59+rue+Bonaparte&lat=48.8566&lon=2.3522&limit=100,0.8758173116330698
rue de l’Abbé Groult,43bis,Rouillard (Mme),,F,Mme,-0,-0,Rouillard,rue Bonaparte,59,Paris,Paris,France,non,,2.333099,48.851953,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=59+rue+Bonaparte&lat=48.8566&lon=2.3522&limit=100,0.8758173116330698
rue de l’Abbé Groult,45,Couilbeaux,,,,-0,-0,Couilbeaux,rue Guttemberg,9,Paris,Paris,France,non,,2.282012,48.844886,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=9+rue+Guttemberg&lat=48.8566&lon=2.3522&limit=100,0.6616300387299446
rue de l’Abbé Groult,47,Couilbeaux,,,,-0,-0,Couilbeaux,rue Guttemberg,9,Paris,Paris,France,non,,2.282012,48.844886,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=9+rue+Guttemberg&lat=48.8566&lon=2.3522&limit=100,0.6616300387299446
rue de l’Abbé Groult,49,Couilbeaux,,,,-0,-0,Couilbeaux,rue Guttemberg,9,Paris,Paris,France,non,,2.282012,48.844886,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=9+rue+Guttemberg&lat=48.8566&lon=2.3522&limit=100,0.6616300387299446
rue de l’Abbé Groult,53,Robineau,,,,-0,-0,Robineau,rue Abbé Groult,53,Paris,Paris,France,oui,,2.296012,48.840264,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=53+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7120231361097631
rue de l’Abbé Groult,55,Tréton,,,,-0,-0,Tréton,-0,Issy,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=Issy+-0&lat=48.8566&lon=2.3522&limit=100,
